create mail merge documents using fields supported objects.	erstellen sie seriendruckdokumente mithilfe von objekten, die felder unterstützen.
create a custom promotion object with fields that store your promotional data: start date, end date, promo code, and discount (%). start date has a value of 4/1/2018, end date has a value of 5/31/2018, promo code has a value of promo1, and discount has a value of 10%.	erstellen sie ein benutzerdefiniertes objekt "sonderangebot" mit feldern, in denen ihre sonderangebotsdaten gespeichert werden: "startdatum", "enddatum", "werbecode" und "rabatt" (%). "startdatum" enthält den wert "1.4.2018", "enddatum" enthält den wert "31.5.2018", "werbecode" enthält den wert "promo1" und "rabatt" enthält den wert "10 %".
set a new default home page	einrichten einer neuen standardstartseite
data about opportunities so you can filter cases by opportunity for prioritization and appropriate action.	daten zu opportunities, sodass sie kundenvorgänge nach opportunity filtern können, um sie zu priorisieren und die geeignete aktion auszuführen.
you can transfer contacts that are enabled for a partner portal only to accounts that are also enabled for a partner portal.	kontakte, die für ein partnerportal aktiviert sind, können nur an accounts übertragen werden, die auch für ein partnerportal aktiviert sind.
review the mass quick action considerations.	lesen sie die überlegungen zu massenschnellaktionen.
opportunities with overdue tasks	opportunities mit überfälligen aufgaben
show menu bar	menüleiste anzeigen
to publish a site to the internet, you must first set its domain information. add a domain name using a txt record if you’re reusing a domain name that’s currently in use. for example, if you’re migrating from an existing site to a new #url1# site, you can transition seamlessly to the new site when you’re ready to go live. this method is suitable only for existing sites that use dns a records.	bevor sie eine site im internet veröffentlichen können, müssen sie zunächst die zugehörigen domäneninformationen festlegen. fügen sie einen domänennamen über einen txt-datensatz hinzu, wenn sie einen bereits in verwendung befindlichen domänennamen wiederverwenden möchten. wenn sie beispielsweise eine migration von einer bestehenden site auf eine neue #url1#-site durchführen, können sie nahtlos auf die neue site wechseln, wenn sie bereit für die liveschaltung sind. diese methode ist nur für bestehende sites geeignet, die dns-a-datensätze verwenden.
in the addresses related list, create addresses for the location. the available types of addresses are mailing, shipping, billing, and home.	erstellen sie in der themenliste "adressen" adressen für den standort. die verfügbaren adresstypen sind "postanschrift", "lieferanschrift", "rechnungsstellung" und "privat".
copy the url displayed on the page and paste it into a text editor.	kopieren sie den url auf der seite und fügen sie ihn in einen texteditor ein.
invalid_standard_account_field_value	invalid_standard_account_field_value
shared via link	sie wurde über einen link freigegeben.
the page layout for the approval request includes the record name (or number), owner, date created, and approval history.	das seitenlayout für die genehmigungsanfrage enthält den namen (bzw. die nummer) des datensatzes, den inhaber, das erstellungsdatum und den genehmigungsverlauf.
a0j36000008xijmaai	a0j36000008xijmaai
object-level help	objektspezifische hilfe
in lightning experience, you can select multiple roles for a contact. customize the roles in the picklist by editing the field.	für einen kontakt können in lightning experience mehrere rollen ausgewählt werden. passen sie die rollen in der auswahlliste an, indem sie das feld bearbeiten.
only the activity owner, and users above the activity owner in the role hierarchy, can edit and delete the activity; users with read access to the record to which the activity is associated can view and report on the activity.	nur der inhaber der aktivität und benutzer, die in der rollenhierarchie über dem inhaber der aktivität stehen, können die aktivität bearbeiten oder löschen. benutzer mit lesezugriff auf den datensatz, dem die aktivität zugeordnet ist, können die aktivität anzeigen und in berichten verwenden.
if your org has approvals in chatter enabled and the approver opted to receive notifications as chatter posts, the default email template is appended with:	wenn in ihrer organisation genehmigungen in chatter aktiviert ist und der genehmiger sich für den empfang von benachrichtigungen als chatter-posts angemeldet hat, wird die standard-e-mail-vorlage durch folgenden text ergänzt:
find information about standard user licenses that you can get for your organization, such as the salesforce user license and lightning platform user license types.	hier finden sie informationen über standardbenutzerlizenzen, die sie für ihre organisation erhalten können, wie z. b. die salesforce- und lightning-plattform-benutzerlizenztypen.
member of the library	mitglied der bibliothek
if the request is being made for a particular job, select the related work order or work order line item.	wenn die anforderung für einen bestimmten auftrag erstellt wird, wählen sie den zugehörigen arbeitsauftrag oder arbeitsauftragsbelegposten aus.
submit for approval elements	elemente zum senden zur genehmigung
select the name of the reporting snapshot whose fields you want to map.	wählen sie den namen des bericht-snapshots aus, dessen felder sie zuordnen möchten.
if you navigate away from your article-type layout before clicking save, your changes are lost.	wenn sie das artikeltyplayout verlassen, ohne zuvor auf "speichern" zu klicken, gehen ihre änderungen verloren.
when you convert a text area (rich) field to a text area (long) field, links are displayed as link reference numbers, not urls.	wenn sie ein feld vom typ "text-bereich (rich text)" in ein feld vom typ "textfeld (lang)" konvertieren, werden die links als linkreferenznummern und nicht als urls angezeigt.
there are two requirements if you choose to import leads data to sales analytics using the configuration wizard.	wenn sie sich für den import von lead-daten in sales analytics mithilfe des konfigurationsassistenten entscheiden, gelten zwei anforderungen.
to add accounts from #url1#:	hinzufügen von accounts aus #url1#:
show event details in multiuser calendar view.	ereignisdetails in kalenderansicht für mehrere benutzer anzeigen
considerations for processes that post to chatter	überlegungen zu bei chatter postenden prozessen
case.last_case_comment	case.last_case_comment
extract replicated data	extrahieren abgeglichener daten
from the salesforce classic report builder, open the add dropdown menu and select a filter type:	öffnen sie im salesforce classic-berichtsgenerator das dropdown-menü hinzufügen und wählen sie einen filtertyp aus:
if you’re using saml single sign-on (sso) for canvas app authentication, select the saml initiation method field. this field is enabled if you select enable saml in the web app settings section. the options for this field include the following.	wenn sie saml single sign-on (sso) für die authentifizierung bei zeichenbereichsanwendungen verwenden, wählen sie das feld saml-initiierungsmethode aus. dieses feld wird aktiviert, wenn sie im abschnitt "webanwendungseinstellungen" die option saml aktivieren auswählen. die optionen für dieses feld beinhalten folgendes:
id: the record id of the record that the flow is launched from.	id: id des datensatzes, über den der flow gestartet wird.
product: month	produkt: monat
if you’re using data loader v.30 or later, create a .csv file with columns for user name, user id, forecast type name, forecast type id, quota amount, quota quantity, currency code, and forecast period start date [yyyy-mm-dd or yyyy-mm-ddthh:mm:ss.sssz; for example, 2012–03–01t08:00:00.00z].if you’re using data loader v.29 or earlier, create a .csv file with columns for user name, user id, quota amount, quota quantity, currency code, and forecast period start date [yyyy-mm-dd or yyyy-mm-ddthh:mm:ss.sssz; for example, 2012–03–01t08:00:00.00z]. if you use revenue and quantity forecasts, specify the quotas for them on separate rows of your .csv file. you don’t need the user name or forecast type name columns, but including them makes it easy to understand the contents of your .csv file.	wenn sie data loader v.30 oder höher verwenden, erstellen sie eine csv-datei mit spalten für benutzername, benutzer-id, prognosetypname, prognosetyp-id, quotenbetrag, quotenmenge, währungskürzel und startdatum des prognosezeitraums [jjjj-mm-tt oder jjjj-mm-ttthh:mm:ss.sssz, beispielsweise 2012–03–01t08:00:00.00z].wenn sie data loader v.29 oder früher verwenden, erstellen sie eine .csv-datei mit spalten für benutzername, benutzer-id, quotenbetrag, quotenmenge, währungskürzel und startdatum des prognosezeitraums [jjjj-mm-tt oder jjjj-mm-ttthh:mm:ss.sssz, beispielsweise 2012–03–01t08:00:00.00z]. wenn sie umsatz- und mengenprognosen verwenden, geben sie die jeweiligen quoten in separaten zeilen der .csv-datei an. die spalten "benutzername" und "prognosetypname" sind nicht zwingend erforderlich, sie erleichtern ihnen jedoch das verstehen des inhalts ihrer .csv-datei.
create patients using the information you receive through the integration with an electronic medical records system.	sie können patienten anhand der informationen anlegen, die sie durch die integration in ein elektronisches krankenaktensystem erhalten.
area code (exact, 50% of field’s match score)	ortsvorwahl (exakt, 50 % des übereinstimmungswerts für das feld)
organization type	organisationstyp
subscriber editable—anyone with the correct permissions can change the value of the field at will. any changes the developer deploys do not overwrite values in the subscriber's organization.	abonnent bearbeitbar: alle personen mit den entsprechenden berechtigungen können den wert des felds nach belieben ändern. vom entwickler bereitgestellte änderungen überschreiben die werte in der abonnentenorganisation nicht.
add chart widgets to visualize data	hinzufügen von diagramm-widgets zum visualisieren von daten
the sales analytics apps license does not support use of einstein analytics platform bulk actions or apex steps functionality. this limitation is contractual, not technical. licensee agrees to strictly monitor its use of analytics platform features.	die lizenz für sales analytics-anwendungen unterstützt keine massenaktionen für die einstein analytics-plattform und auch keine apex-schritte. diese einschränkung ist vertraglich festgelegt und nicht technisch bedingt. der lizenznehmer stimmt zu, die verwendung der analytics-plattformfunktionen genau zu überwachen.
contact role fields	kontaktrollenfelder
opportunity owner belongs to same territory as account	opportunity-inhaber gehört zur selben region wie account
email integration	e-mail-integration
geo	geo
salesforce for outlook, a microsoft® outlook® integration application that you install, syncs contacts, events, and tasks between outlook and salesforce. in addition to syncing these items, you can add outlook emails, attachments, events, and tasks to multiple salesforce contacts, and view salesforce records related to the contacts and leads in your emails and events—all directly in outlook.	salesforce for outlook ist eine anwendung zur integration von microsoft® outlook®, die sie installieren. sie können damit kontakte, ereignisse und aufgaben zwischen outlook und salesforce synchronisieren. neben dem synchronisieren dieser elemente können sie auch outlook-e-mails, -anhänge, -ereignisse und -aufgaben zu mehreren salesforce-kontakten hinzufügen und salesforce-datensätze anzeigen, die mit den kontakten und leads in ihren e-mails und ereignissen im zusammenhang stehen – und das alles direkt in outlook!
topicassignment	topicassignment
quick actions appear on mobile devices, whereas standard case feed publishers do not. to use the feed-first design on cases, recreate these publishers as quick actions.	schnellaktionen werden auf mobilgeräten angezeigt, was bei standardmäßigen kundenvorgangsfeed-publishern nicht der fall ist. um für kundenvorgänge das design mit dem feed zuerst zu verwenden, erstellen sie diese publisher als schnellaktionen neu.
salesforce lightning design system	design-system von salesforce lightning
a visual representation of the badge. click the image field to select a picture from a directory on your computer. badge images are stored at 128 x 128 pixels and are externally available.	eines visuelle darstellung des badge. klicken sie auf das bildfeld, um ein bild aus einem verzeichnis auf dem computer auszuwählen. badge-bilder werden in einer größe von 128 x 128 pixel gespeichert und stehen extern zur verfügung.
if you use a permission set, user license must be set to the default option, “none.”	wenn sie einen berechtigungssatz verwenden, muss "benutzerlizenz" auf die standardoption "keine" festgelegt werden.
:(	:(
some laws require you and your company to let customers access and take their data with them. we’ve listed a few of the obligations that are important to many companies collecting and processing their customers’ data.general data protection regulation (gdpr), european unioncustomer contractsif you have customers or users who want to take the data that you’ve received from them, review these common requests. we’ve provided links to the procedures related to those requests.	einige gesetze verlangen, dass sie und ihr unternehmen kunden ermöglichen, ihre daten aufzurufen und mitzunehmen. im folgenden werden einige der verpflichtungen aufgeführt, die für viele unternehmen wichtig sind, die daten ihrer kunden erfassen und verarbeiten.datenschutz-grundverordnung (dsgvo), europäische unionkundenverträgewenn ihre kunden oder benutzer die daten mitnehmen möchten, die sie von ihnen erhalten haben, dann lesen sie die folgenden gängigen kundenanforderungen. außerdem enthält der abschnitt links zu vorgehensweisen, um diese anforderungen zu erfüllen.
lookup field filters don’t work if the field criteria include a master-detail relationship field.	nachschlagefeldfilter funktionieren nicht, wenn die feldkriterien ein master-detail-beziehungsfeld aufweisen.
so how does it all work? several data-bound page elements let you retrieve and display your data, or collect data from your site visitors.	wie funktioniert das ganze? mithilfe mehrerer datengebundener seitenelemente können sie ihre daten abrufen und anzeigen oder daten von den besuchern ihrer website erfassen.
take your tasks from desktop to mobile (salesforce classic)	take your tasks from desktop to mobile (aufgaben vom desktop auf mobilgeräte übertragen) (salesforce classic)
in salesforce, create a connected app for zendesk.	erstellen sie in salesforce eine verbundene anwendung für zendesk.
the city in the mailing address, up to 40 characters.	der ort in der postanschrift, bis zu 40 zeichen.
opportunitylineitemrevenue	opportunitylineitemrevenue
set the days and hours when users with this profile can log in to the organization.	stellen sie die tage und stunden ein, in denen sich benutzer mit diesem profil bei der organisation anmelden dürfen.
eastern european summer time (asia/beirut)	osteuropäische sommerzeit (asien/beirut)
contact preferred phone	bevorzugtes kontakttelefon
add charts to visualize and interact with the data to tell a story about it. each chart is based on the underlying query in a lens.	sie können diagramme zur visualisierung und interaktion mit den daten hinzufügen, um so aufschluss über die daten zu erhalten. jedes diagramm basiert auf der zugrunde liegenden abfrage in einer linse.
the id of the record that the service report is summarizing. for example, if you click create service report on a service appointment, this field lists the service appointment’s record id.	die id des datensatzes, der in diesem servicebericht zusammengefasst wird. wenn sie beispielsweise in einem servicetermin auf servicebericht erstellen klicken, wird in diesem feld die datensatz-id des servicetermins aufgelistet.
the lesser of 10 mb or 1 mb multiplied by the number of full-featured user licenses in your org (n/a in contact manager and professional editions)	der geringere teil von 10 mb oder 1 mb mal der anzahl an benutzerlizenzen mit vollem funktionsumfang in der organisation (nicht verfügbar in der contact manager und professional edition)
if multiple page layouts are defined for the object, click page layout assignment to see which page layout is assigned to each user profile.	wenn für das objekt mehrere seitenlayouts definiert sind, klicken sie auf seitenlayoutzuordnung, um festzustellen, welche seitenlayouts den einzelnen benutzerprofilen zugewiesen sind.
resetting a locked-out user’s password automatically unlocks the user’s account.	durch das zurücksetzen des kennworts eines gesperrten benutzers wird der account des benutzers automatisch entsperrt.
applies to—specify which types of member-generated content this rule applies to. posts and comments only apply to content created in groups and user profiles. all feed types, such as polls and links, are supported.	gilt für: geben sie an, für welche arten von durch mitglieder generierten inhalten diese regel gilt. posts und kommentare gelten nur für inhalt, der in gruppen und benutzerprofilen erstellt wurde. es werden alle feed-typen wie abstimmungen und links unterstützt.
to add campaign members:	hinzufügen von kampagnenmitgliedern:
in lightning experience, contact roles are available for opportunities and contracts. although they work more or less the same for each available object, they work independently. therefore, you need to set them up and use them separately for each object.	in lightning experience sind kontaktrollen nur für opportunities und verträge verfügbar. obwohl die funktionsweise für jedes verfügbare objekt ähnlich ist, arbeiten sie dennoch unabhängig voneinander. aus diesem grund müssen sie sie für jedes objekt separat einrichten und verwenden.
the following is a pseudo-code example that the diagram is based on.	im folgenden finden sie ein beispiel aus unechtem code, auf dem das diagramm basiert.
add new records and update existing records	hinzufügen neuer datensätze und aktualisieren bestehender datensätze
contributions - monthly trend	contributions – monthly trend (beiträge – monatlicher trend)
select the fields to include in the email reminders.	wählen sie die felder aus, die in e-mail-erinnerungen enthalten sein sollen.
ask your salesforce admin (or someone designated by your admin) for a temporary identity verification code.	fragen sie ihren salesforce-administrator (oder eine von ihrem administrator bestimmte person) nach einem temporären code zur identitätsüberprüfung.
formula, roll-up summary, or auto-number fields	formelfelder, rollup-zusammenfassungsfelder bzw. felder mit automatischer nummerierung
geocode rules	geocode-regeln
167 x 167 pixels	167 x 167 pixel
story insights	artikel und statistiken
np	np
miscellaneous bug fixes, including an issue with popup notifications stealing os focus	verschiedene fehlerbehebungen, einschließlich eines problems mit popup-benachrichtigungen, die sich nachteilig auf den bs-fokus auswirken
in addition to tracking, content deliveries provide several benefits over sending files as attachments, such as giving you control over how long the delivery is available to viewers and whether a viewer can download a file or only view it online. by default, a content delivery shows the most recent version of the file being delivered.	neben der verfolgung bieten inhaltszustellungen im vergleich zum senden von dateien als anhänge mehrere vorteile. so können sie beispielsweise steuern, wie lange die zustellung für benutzer, die sie anzeigen, zur verfügung steht und ob ein anzeigender benutzer eine datei herunterladen oder nur online anzeigen kann. standardmäßig wird in einer inhaltszustellung die aktuellste version der zuzustellenden datei angezeigt.
show discussions results before articles	diskussionsergebnisse vor artikeln anzeigen
bounce management with email relay	management für unzustellbare e-mails mit e-mail-weiterleitung
the mini page layout defines the hover details that display when you mouse over a field on an object’s detail page, in the agent console, or in the recent items section of the sidebar in salesforce classic. to customize the fields in the mini page layout, click mini page layout at the top of the palette.	das mini-seitenlayout legt die hover-details fest, die angezeigt werden, wenn sie den mauszeiger auf der detailseite eines objekts, in der agentenkonsole oder im abschnitt "zuletzt verwendete elemente" der randleiste in salesforce classic auf ein feld bewegen. wenn sie die felder im mini-seitenlayout anpassen möchten, klicken sie oben in der palette auf mini-seitenlayout.
from setup, enter apps in the quick find box, then select app managernew lightning app.	geben sie unter "setup" im feld schnellsuche den text anwendungen ein und wählen sie dann anwendungs-managerneue lightning-anwendung aus.
a certificate chain is a hierarchical order of certificates where one certificate issues and signs another certificate lower in the hierarchy. upload a certificate chain as a single pem-encoded ca-signed certificate representing the concatenated chain of certificates. the uploaded certificate chain must include the intermediate certificates in the following order.	eine zertifikatskette ist eine hierarchische reihenfolge von zertifikaten, bei der ein zertifikat ein anderes zertifikat ausstellt und signiert, das sich weiter unten in der hierarchie befindet. laden sie eine zertifikatskette als einzelnes pem-kodiertes und von einer zertifizierungsstelle signiertes zertifikat hoch, das die verketteten zertifikate darstellt. die hochgeladene zertifikatskette muss die zwischenzertifikate in der folgenden reihenfolge enthalten.
to view all users that are assigned to a profile from the profile overview page, click assigned users (in the enhanced profile user interface) or view users (in the original profile user interface). from the assigned users page, you can:	wenn sie alle benutzer anzeigen möchten, die einem profil zugeordnet sind, klicken sie auf der profilübersichtsseite auf zugeordnete benutzer (in der verbesserten benutzeroberfläche für die profilverwaltung) bzw. benutzer anzeigen (in der ursprünglichen benutzeroberfläche für die profilverwaltung). auf der seite "zugeordnete benutzer" können sie folgende aktionen ausführen:
opportunity records	opportunity-datensätze
the maximum file size you can import is 50 mb unless you import and unzip a .zip file. in that case, you can import a .zip file of up to 200 mb if you select unzip files during the import process. if your site is larger than 200mb when zipped, you can create more than one zipped file and import them individually.	die maximal hochladbare dateigröße beträgt 50 mb, sofern sie nicht eine .zip-datei importieren und entpacken. in diesem fall können sie eine zip-datei mit bis zu 200 mb importieren, sofern sie während des importvorgangs dateien entpacken auswählen. wenn ihre website als zip-datei größer als 200 mb ist, können sie mehrere zip-dateien erstellen und diese einzeln importieren.
determine how web-generated leads get assigned to users or queues by creating a lead assignment rule and activating it. if the rule is inactive, all web-generated leads get assigned to the default owner you specify in lead settings.	legen sie fest, wie webgenerierte leads benutzern oder warteschlangen zugewiesen werden, indem sie eine leadzuordnungsregel erstellen und aktivieren. wenn die regel inaktiv ist, werden alle webgenerierten leads dem von ihnen in den leadeinstellungen angegebenen standardinhaber zugewiesen.
datetimevalue(expression) and replace expression with a date/time or text value, merge field, or expression.	datetimevalue(ausdruck); ersetzen sie ausdruck durch einen datum/uhrzeit- oder textwert, ein briefvorlagenfeld oder einen ausdruck.
dashboard json	dashboard-json
/ (divide)	/ (dividieren)
you can use the soap api to develop and deploy changes to a development or sandbox organization, programmatically.	sie können die soap-api verwenden, um änderungen in einer entwicklungs- oder sandboxorganisation zu entwickeln und bereitzustellen.
indicates the user who last changed the task, along with the task modification date and time. this field is read only.	gibt den benutzer, der die aufgabe zuletzt geändert hat, mit datum und uhrzeit der änderung der aufgabe an. dieses feld ist schreibgeschützt.
read all of the help topics.	lesen sie alle hilfethemen.
discount percent = 1 / (quantity ^ (compound discount value / 100))	rabattprozentsatz = 1 / (menge ^ (wert des zusammengesetzten rabatts / 100))
track certain data privacy preferences for leads and contacts already in salesforce	nachverfolgen bestimmter datenschutzvoreinstellungen für leads und kontakte, die bereits in salesforce gespeichert sind
if no step criteria are met and the record is auto-approved or auto-rejected, completed date and submitted date have the same values.	wenn keine schrittkriterien erfüllt werden und der datensatz automatisch genehmigt oder abgelehnt wurde, weisen abgeschlossen am und abgesendet am dieselben werte auf.
double-click the content block on the page.	doppelklicken sie auf den inhaltsblock auf der seite.
review data you will import to ensure that it is more up-to-date than what is already in salesforce. your salesforce data will be replaced with data from your import file, even if it is out of date.	überprüfen sie die zu importierenden daten, um sicherzustellen, dass sie aktueller sind als die daten, die bereits in salesforce vorhanden sind. ihre salesforce-daten werden durch die daten aus der importdatei ersetzt, selbst wenn diese veraltet sind.
enable transaction security policies to make them available for use.	aktivieren sie transaktionssicherheitsrichtlinien, um sie für die verwendung zu aktivieren.
after you add a language to your site, the #url1# studio language selector appears on the toolbar. it lets you switch between languages as you edit content on each page. for example, if you add french and spanish to your site, the language selector displays french, spanish, and english (us).	nachdem sie der website sprachen hinzugefügt haben, wird eine #url1# studio-sprachauswahl auf der symbolleiste angezeigt. damit können sie auf allen seiten zwischen sprachen wechseln, während sie inhalt bearbeiten. wenn sie ihrer website beispielsweise französisch und spanisch hinzufügen, werden in der sprachauswahl französisch, spanisch und englisch (usa) angezeigt.
post to chatter actions	aktionen des typs "bei chatter posten"
pen	pen
groups that were automatically archived in the last 15 days, sorted by the most recent contribution date. the report doesn't include groups manually archived by a user.	gruppen, die in den letzten 15 tagen automatisch archiviert wurden, sortiert nach dem neuesten beitragsdatum. der bericht enthält keine gruppen, die manuell durch einen benutzer archiviert wurden.
the fields displayed on the fields operational scope page are referenced through the operational scope:	die felder, die auf der seite “operationsumfang des felds” angezeigt werden, werden über den operationsumfang referenziert:
with salesforce to salesforce, if you accept a parent record that’s forwarded from a connected organization, any related or child records sent with it are automatically accepted as long as certain criteria are met.	wenn sie mit salesforce-zu-salesforce einen übergeordneten datensatz akzeptieren, der von einer verbundenen organisation weitergeleitet wurde, werden alle mit ihm gesendeten zugehörigen oder untergeordneten datensätze automatisch akzeptiert, sofern bestimmte kriterien erfüllt sind.
launch data loader and follow the update wizard. note that matching is done according to record id. see insert, update, or delete data using data loader.	starten sie data loader und befolgen sie die anweisungen des aktualisierungs-assistenten. beachten sie, dass die zuordnung entsprechend der datensatz-id erfolgt. siehe einfügen, aktualisieren oder löschen von daten mit data loader.
data category groups help you classify and find articles. you can use data categories to control access to a set of articles, questions or ideas.	mit "datenkategoriegruppen" können sie artikel klassifizieren und nach ihnen suchen. sie können datenkategorien verwenden, um den zugriff auf eine gruppe von artikeln, fragen oder ideen zu steuern.
for a picklist on an object, go to the fields area of the object.	navigieren sie bei einer auswahlliste für ein objekt zum feldbereich des objekts.
to delete dashboards created by another user:	löschen von dashboards, die von anderen benutzern erstellt wurden:
required. feed title. for example, ft:"newest opportunities".	pflichtangabe. feed-titel. beispiel: ft:"neueste opportunities".
create google apps accounts:	erstellen von google apps-accounts:
to customize page layouts:	anpassen von seitenlayouts:
set the base font size, width and height, and images for your snap-ins chat deployment.	legen sie für ihre bereitstellung von snap-ins für chat die basisschriftgröße, -breite und -höhe sowie bilder dafür fest.
available in: both the salesforce mobile app and lightning experience	verfügbarkeit: mobile salesforce-anwendung und lightning experience
administrator task	administratoraufgabe
to deactivate a customer portal, go to the customer portal settings page in setup. to deactivate a partner portal, go to the partners page in setup.	wechseln sie zum deaktivieren eines kundenportals unter "setup" zur seite "kundenportaleinstellungen". wechseln sie zum deaktivieren eines partnerportals unter "setup" zur seite "partner".
